region_id,mean_lat,mean_lon,num_points,total_visit_count,total_duration_sec,polygon_latlon
0,37.554844428283445,127.04716311727245,47,47.0,1312293.746,"[[37.55388518334144, 127.0485259806067], [37.55385092626554, 127.04852716143195], [37.553816739236915, 127.0485241576453], [37.5537829427609, 127.04851699740743], [37.55374985368137, 127.04850574784598], [37.5537177822103, 127.04849051442622], [37.55368702901954, 127.04847143996231], [37.55365788242201, 127.04844870327842], [37.55363061566869, 127.04842251753227], [37.55360548438693, 127.0483931282167], [37.553582724183926, 127.04836081085818], [37.55356254843785, 127.0483258684338], [37.55354514629748, 127.04828862853074], [37.55353068090885, 127.04824944027521], [37.55351928788579, 127.0482086710593], [37.55351107403855, 127.04816670309671], [37.553506116372404, 127.04812392983948], [37.55350446136575, 127.04808075228928], [37.553506124534366, 127.04803757523811], [37.55380801121872, 127.04412339279777], [37.55381309799165, 127.04407984702176], [37.5538215594037, 127.0440371447053], [37.553833313210305, 127.04399570091307], [37.55384824516498, 127.04395591847695], [37.55386621012975, 127.04391818408052], [37.553887033485935, 127.04388286450052], [37.5539105128314, 127.04385030304172], [37.55393641994792, 127.04382081620012], [37.553964503019415, 127.04379469058657], [37.55399448907965, 127.0437721801409], [37.55402608666539, 127.0437535036637], [37.554058988649466, 127.04373884268949], [37.55409287522599, 127.04372833972235], [37.5541274170189, 127.04372209685064], [37.554162278283435, 127.04372017475484], [37.554197120169604, 127.04372259211762], [37.55423160401576, 127.0437293254423], [37.5542653946404, 127.04374030928129], [37.554298163600095, 127.04375543687212], [37.55432959238196, 127.04377456117525], [37.55435937549959, 127.04379749630328], [37.554387223462335, 127.04382401932777], [37.55609410921731, 127.04562299995456], [37.55611974118496, 127.0456528400186], [37.556142920212764, 127.045685717609], [37.55616342118857, 127.04572131342222], [37.55618104500917, 127.04575928175565], [37.55619562051397, 127.04579925386504], [37.55620700614726, 127.04584084154568], [37.55621509133305, 127.04588364090262], [37.55621979754889, 127.04592723627322], [37.55622107908855, 127.04597120426406], [37.556218923505845, 127.04601511786288], [37.556213351735565, 127.04605855058566], [37.556204417890115, 127.0461010806186], [37.556192208734025, 127.0461422949147], [37.55565156575496, 127.04772476512406], [37.55563132968679, 127.0477750089524], [37.555439211972924, 127.04818558100706], [37.55542052578574, 127.04822145535442], [37.55539919472348, 127.0482549002755], [37.5553754159718, 127.04828560660336], [37.55534940934297, 127.04831329048679], [37.55532141524388, 127.04833769601426], [37.55529169245372, 127.04835859757955], [37.55526051573181, 127.04837580196731], [37.5552281732777, 127.04838915013909], [37.55519496406704, 127.04839851870358], [37.55516119508785, 127.04840382105718], [37.55388518334144, 127.0485259806067]]"
1,37.56426990664511,127.03846558006377,49,49.0,688315.441,"[[37.56139310191122, 127.03669981874077], [37.56137386520341, 127.03666284472105], [37.561357606379026, 127.03662366174683], [37.56134448330988, 127.03658265028147], [37.56133462341987, 127.03654020854286], [37.56132812244768, 127.03649674863667], [37.5613250435172, 127.03645269255489], [37.5613254165246, 127.03640846807838], [37.561329237848, 127.03636450462307], [37.56133647038268, 127.03632122907035], [37.56134704390132, 127.03627906162222], [37.56136085573597, 127.03623841172102], [37.56137777177488, 127.03619967407383], [37.561397627764734, 127.03616322481996], [37.56142023090556, 127.03612941787856], [37.56144536172277, 127.03609858151216], [37.56147277619825, 127.03607101513931], [37.56150220813977, 127.03604698642712], [37.56153337176566, 127.03602672869238], [37.56156596447976, 127.03601043863596], [37.56304655447976, 127.03537498863594], [37.56307916476879, 127.03536314923781], [37.56311252082666, 127.03535528317535], [37.56314631919697, 127.03535146200997], [37.563180252399384, 127.03535172050469], [37.56321401172694, 127.03535605630788], [37.56324729005449, 127.03536442997458], [37.56327978463279, 127.03537676532545], [37.56331119984274, 127.03539295013977], [37.563341249884765, 127.03541283717635], [37.563369661378935, 127.03543624551308], [37.56339617585196, 127.03546296219285], [37.56342055208869, 127.03549274416092], [37.565187825132156, 127.03786821807401], [37.565210695791706, 127.03790219382834], [37.56523078234498, 127.03793886391095], [37.56524788668176, 127.03797786665109], [37.56526184010491, 127.03801881737145], [37.565272504994205, 127.0380613121821], [37.56527977616368, 127.038104931964], [37.56528358189903, 127.03814924650274], [37.56528388466495, 127.03819381873166], [37.565280681475315, 127.03823820904249], [37.565274003922625, 127.03828197962125], [37.56526391786644, 127.03832469876619], [37.56525052278379, 127.03836594514576], [37.5652339507881, 127.03840531195398], [37.56521436532609, 127.0384424109228], [37.56519195956582, 127.03847687615144], [37.56516695449147, 127.03850836771528], [37.56498736725444, 127.03871311509252], [37.564962940498404, 127.03873856557895], [37.564791714691964, 127.03890134863647], [37.56477769715972, 127.03891401498025], [37.56460455641898, 127.03906259211391], [37.564597339921605, 127.0390686241101], [37.564341274412335, 127.03927704887859], [37.56433376939438, 127.03928299192411], [37.56361201314438, 127.03983884817411], [37.56358101187377, 127.03986013575201], [37.56354849116307, 127.0398774432591], [37.56351477109952, 127.03989060034509], [37.56348018357513, 127.0398994775105], [37.563445069019906, 127.03990398738122], [37.56340977305122, 127.03990408556857], [37.563374643071995, 127.03989977110609], [37.563340024851406, 127.0398910864592], [37.56330625912161, 127.03987811710711], [37.56327367822406, 127.03986099070153], [37.563242602838415, 127.03983987581026], [37.563213338826245, 127.03981498025803], [37.56318617422055, 127.03978654908097], [37.563161376390774, 127.03975486211485], [37.56313918941122, 127.03972023124076], [37.56139310191122, 127.03669981874077]]"
2,37.56113876490683,127.04113521532094,2,2.0,22200.012,"[[37.56133610660957, 127.04069940500908], [37.5613562738082, 127.04068737229188], [37.56141900558448, 127.04065905679406], [37.56148363536211, 127.04063863437797], [37.561549540721, 127.04062630172268], [37.56161608695652, 127.04062217759841], [37.561682633192035, 127.04062630172268], [37.56174853855092, 127.04063863437797], [37.561813168328555, 127.04065905679406], [37.56187590010484, 127.04068737229188], [37.56193612973847, 127.04072330817776], [37.56199327718516, 127.04076651836944], [37.562046792083756, 127.04081658672916], [37.56209615905653, 127.04087303107126], [37.56214090267255, 127.04093530780584], [37.56218059202633, 127.04100281717393], [37.56221484488769, 127.04107490902341], [37.56224333138287, 127.04115088907034], [37.56226577717133, 127.04123002558535], [37.562281966087866, 127.04131155644053], [37.56229174222436, 127.04139469644919], [37.562295011431274, 127.04147864492758], [37.56229174222436, 127.04156259340597], [37.562281966087866, 127.04164573341461], [37.56226577717133, 127.0417272642698], [37.56224333138287, 127.04180640078481], [37.56221484488769, 127.04188238083174], [37.56218059202633, 127.04195447268121], [37.56214090267255, 127.0420219820493], [37.56209615905653, 127.04208425878389], [37.562046792083756, 127.04214070312598], [37.56199327718516, 127.0421907714857], [37.56193612973847, 127.04223398167738], [37.56187590010484, 127.04226991756326], [37.561813168328555, 127.04229823306109], [37.56174853855092, 127.04231865547717], [37.561682633192035, 127.04233098813246], [37.56161608695652, 127.04233511225675], [37.561549540721, 127.04233098813246], [37.56148363536211, 127.04231865547717], [37.56141900558448, 127.04229823306109], [37.5613562738082, 127.04226991756326], [37.56129604417456, 127.04223398167738], [37.56123889672787, 127.0421907714857], [37.561185381829276, 127.04214070312598], [37.5611360148565, 127.04208425878389], [37.561091271240485, 127.0420219820493], [37.56105158188671, 127.04195447268121], [37.56101732902534, 127.04188238083174], [37.560988842530165, 127.04180640078481], [37.560966396741705, 127.0417272642698], [37.560950207825165, 127.04164573341461], [37.560941423204085, 127.04157102563276], [37.560921256005464, 127.04158305834996], [37.56085852422918, 127.04161137384779], [37.56079389445155, 127.04163179626387], [37.56072798909266, 127.04164412891916], [37.560661442857146, 127.04164825304345], [37.56059489662163, 127.04164412891916], [37.56052899126274, 127.04163179626387], [37.56046436148511, 127.04161137384779], [37.56040162970883, 127.04158305834996], [37.560341400075195, 127.04154712246408], [37.560284252628506, 127.0415039122724], [37.5602307377299, 127.04145384391269], [37.56018137075713, 127.0413973995706], [37.56013662714111, 127.041335122836], [37.560096937787335, 127.04126761346791], [37.560062684925974, 127.04119552161845], [37.5600341984308, 127.0411195415715], [37.56001175264233, 127.0410404050565], [37.5599955637258, 127.04095887420132], [37.559985787589305, 127.04087573419267], [37.55998251838239, 127.04079178571428], [37.559985787589305, 127.04070783723589], [37.5599955637258, 127.04062469722723], [37.56001175264233, 127.04054316637205], [37.5600341984308, 127.04046402985703], [37.560062684925974, 127.0403880498101], [37.560096937787335, 127.04031595796063], [37.56013662714111, 127.04024844859254], [37.56018137075713, 127.04018617185795], [37.5602307377299, 127.04012972751586], [37.560284252628506, 127.04007965915613], [37.560341400075195, 127.04003644896446], [37.56040162970883, 127.04000051307858], [37.56046436148511, 127.03997219758075], [37.56052899126274, 127.03995177516468], [37.56059489662163, 127.0399394425094], [37.560661442857146, 127.0399353183851], [37.56072798909266, 127.0399394425094], [37.56079389445155, 127.03995177516468], [37.56085852422918, 127.03997219758075], [37.560921256005464, 127.04000051307858], [37.5609814856391, 127.04003644896446], [37.56103863308579, 127.04007965915613], [37.56109214798439, 127.04012972751586], [37.561141514957164, 127.04018617185795], [37.56118625857318, 127.04024844859254], [37.56122594792696, 127.04031595796063], [37.561260200788325, 127.0403880498101], [37.5612886872835, 127.04046402985703], [37.56131113307196, 127.04054316637205], [37.56132732198849, 127.04062469722723], [37.56133610660957, 127.04069940500908]]"
3,34.96409606456272,127.71851858778612,2,2.0,59999.96400000001,"[[34.96464157055669, 127.71808909166448], [34.96468301731741, 127.71813493014623], [34.964727760933435, 127.71819516967209], [34.96476745028721, 127.71826047066051], [34.964801703148574, 127.71833020422729], [34.96483018964375, 127.71840369880006], [34.964852635432216, 127.71848024658588], [34.96486882434875, 127.71855911038777], [34.96487860048524, 127.71863953070418], [34.96488186969216, 127.71872073304351], [34.96487860048524, 127.71880193538284], [34.96486882434875, 127.71888235569925], [34.964852635432216, 127.71896121950114], [34.96483018964375, 127.71903776728698], [34.964801703148574, 127.71911126185974], [34.96476745028721, 127.71918099542651], [34.964727760933435, 127.71924629641494], [34.96468301731741, 127.71930653594079], [34.96463365034464, 127.71936113386451], [34.96458013544604, 127.71940956437825], [34.96452298799935, 127.71945136106967], [34.96446275836572, 127.71948612141381], [34.96440002658944, 127.71951351064953], [34.964335396811805, 127.71953326500355], [34.96426949145292, 127.71954519423059], [34.9642029452174, 127.71954918344572], [34.964136398981886, 127.71954519423059], [34.96407049362299, 127.71953326500355], [34.964005863845365, 127.71951351064953], [34.96394313206908, 127.71948612141381], [34.963882902435444, 127.71945136106967], [34.963825754988754, 127.71940956437825], [34.96377224009016, 127.71936113386451], [34.96372287311738, 127.71930653594079], [34.96367812950137, 127.71924629641494], [34.96363844014759, 127.71918099542651], [34.96360418728622, 127.71911126185974], [34.96357570079105, 127.71903776728698], [34.96355325500259, 127.71896121950114], [34.96355055856875, 127.7189480839078], [34.96350911180802, 127.71890224542605], [34.963464368192, 127.7188420059002], [34.96342467883822, 127.71877670491178], [34.96339042597686, 127.718706971345], [34.963361939481686, 127.71863347677224], [34.96333949369322, 127.7185569289864], [34.96332330477669, 127.71847806518453], [34.96331352864019, 127.7183976448681], [34.96331025943328, 127.71831644252877], [34.96331352864019, 127.71823524018946], [34.96332330477669, 127.71815481987304], [34.96333949369322, 127.71807595607116], [34.963361939481686, 127.71799940828532], [34.96339042597686, 127.71792591371256], [34.96342467883822, 127.71785618014579], [34.963464368192, 127.71779087915736], [34.96350911180802, 127.7177306396315], [34.9635584787808, 127.71767604170778], [34.96361199367939, 127.71762761119405], [34.96366914112608, 127.71758581450261], [34.963729370759715, 127.71755105415848], [34.963792102536, 127.71752366492275], [34.96385673231363, 127.71750391056875], [34.96392263767252, 127.7174919813417], [34.96398918390803, 127.71748799212658], [34.96405573014355, 127.7174919813417], [34.964121635502444, 127.71750391056875], [34.96418626528007, 127.71752366492275], [34.96424899705635, 127.71755105415848], [34.96430922668999, 127.71758581450261], [34.96436637413668, 127.71762761119405], [34.96441988903528, 127.71767604170778], [34.96446925600805, 127.7177306396315], [34.96451399962407, 127.71779087915736], [34.964553688977844, 127.71785618014579], [34.96458794183921, 127.71792591371256], [34.96461642833439, 127.71799940828532], [34.96463887412285, 127.71807595607116], [34.96464157055669, 127.71808909166448]]"
4,11.958237502678571,121.9264247236607,2,2.0,18000.01,[]
5,11.959105042975143,121.92970984935353,5,5.0,105900.347,"[[11.95849281156535, 121.92963443215564], [11.958475524049451, 121.92961512200147], [11.95846017533166, 121.92959416977295], [11.9584469138028, 121.92957177803544], [11.95843586767482, 121.92954816327138], [11.958427143741273, 121.92952355378745], [11.958420826344812, 121.92949818750716], [11.958416976561788, 121.92947230967077], [11.958415631611754, 121.92944617046422], [11.958416804497636, 121.92942002260035], [11.95842048388002, 121.92939411887572], [11.958426634186777, 121.92936870972655], [11.958435195956975, 121.92934404080754], [11.958446086415744, 121.92932035061683], [11.958459200274545, 121.92929786819032], [11.958474410749089, 121.92927681088723], [11.958491570785085, 121.92925738228877], [11.958510514479963, 121.9292397702299], [11.958531058686798, 121.92922414498331], [11.958553004784982, 121.92921065761332], [11.95857614060047, 121.9291994385153], [11.958600242457083, 121.92919059615505], [11.958625077338983, 121.92918421602018], [11.958650405143482, 121.92918035979359], [11.958675981002326, 121.92917906475715], [11.958701557649086, 121.9291803434312], [11.959271268833298, 121.92923762808033], [11.959296111493977, 121.92924136944032], [11.959320486174898, 121.92924753902935], [11.959344166269906, 121.92925607949007], [11.959366931630266, 121.92926691142368], [11.959388570611331, 121.92927993412802], [11.959408882040165, 121.9292950265338], [11.959427677085793, 121.9293120483302], [11.959444781014728, 121.92933084126923], [11.959460034815434, 121.92935123063702], [11.959473296676615, 121.929373026878], [11.959484443305607, 121.9293960273572], [11.959493371074606, 121.92942001824414], [11.95959133606964, 121.92972706519878], [11.959597951932238, 121.92975177728935], [11.959602213120178, 121.92977702502952], [11.959604080163796, 121.92980257455964], [11.959603535769423, 121.92982818922475], [11.959600584979562, 121.92985363176655], [11.959595255126187, 121.92987866652105], [11.95958759557758, 121.92990306160144], [11.95957767728104, 121.92992659104593], [11.959565592105745, 121.9299490369108], [11.959551451991791, 121.92997019128907], [11.95953538791334, 121.92998985823628], [11.959517548665458, 121.93000785558543], [11.959498099485897, 121.93002401663436], [11.959477220524544, 121.9300381916898], [11.959455105174786, 121.93005024945394], [11.959246842966127, 121.93015095461492], [11.959222326300372, 121.93016128308746], [11.959196909234436, 121.9301690096594], [11.959170855275234, 121.93017405422685], [11.95914443453256, 121.9301763644912], [11.959117920918768, 121.93017591650117], [11.959091589309041, 121.93017271490122], [11.959065712691666, 121.93016679288337], [11.959040559337877, 121.93015821184308], [11.959016390020599, 121.93014706074275], [11.958993455310935, 121.93013345518948], [11.958971992980414, 121.93011753623637], [11.958952225535937, 121.93009946892036], [11.95849281156535, 121.92963443215564]]"
6,11.963390054467407,121.92616510406157,4,4.0,37799.56,"[[11.96247230790409, 121.9271283169623], [11.962449330459313, 121.9271386066745], [11.96242546676309, 121.9271465124536], [11.962400952853587, 121.92715195610276], [11.962376031200291, 121.92715488377831], [11.962350948305726, 121.92715526652233], [11.962325952267268, 121.92715310054906], [11.962301290323186, 121.92714840728235], [11.962277206407194, 121.92714123314376], [11.962253938735675, 121.9271316490934], [11.96223171745145, 121.92711974992805], [11.96221076234743, 121.92710565334353], [11.962191280692604, 121.92708949877056], [11.962173465181937, 121.92707144599558], [11.962157492030396, 121.92705167358038], [11.962143519229993, 121.92703037709585], [11.962131684987067, 121.92700776718762], [11.962122106355281, 121.92698406749251], [11.962114878077822, 121.92695951242654], [11.962110071650292, 121.92693434486627], [11.962107734613541, 121.92690881374652], [11.962107890083425, 121.9268831715981], [11.96211053652218, 121.92685767205003], [11.962115647753619, 121.92683256732084], [11.962123173222047, 121.92680810572386], [11.962133038492318, 121.92678452921118], [11.962145145986076, 121.92676207098037], [11.962159375946909, 121.92674095316802], [11.962175587624875, 121.92672138465248], [11.962193620668675, 121.92670355898787], [11.962700952661683, 121.92624973188995], [11.96271898902116, 121.92623503058806], [11.964613539982693, 121.92483070654959], [11.964634475410714, 121.92481675180271], [11.964656659107934, 121.92480498344928], [11.964679873268318, 121.92479551703444], [11.964703889968433, 121.9247884455022], [11.96472847340528, 121.92478383828296], [11.964753382211471, 121.92478174061173], [11.964778371825046, 121.9247821730841], [11.964803196890657, 121.92478513145387], [11.964827613668533, 121.92479058667494], [11.964851382427593, 121.92479848518634], [11.964874269799196, 121.92480874943818], [11.964896051068418, 121.92482127865301], [11.964916512380377, 121.92483594981535], [11.964935452839914, 121.9248526188794], [11.964952686484047, 121.92487112218342], [11.964968044107806, 121.92489127805653], [11.964981374925541, 121.9249128886025], [11.964992548051377, 121.92493574164263], [11.965001453784291, 121.92495961279907], [11.965008004685185, 121.92498426769782], [11.965012136435396, 121.92500946426985], [11.965013808468187, 121.92503495512784], [11.965013004367053, 121.92506048999509], [11.965009732026893, 121.92508581816276], [11.965004023576503, 121.92511069095148], [11.96499593506312, 121.92513486415295], [11.96498554590214, 121.92515810042757], [11.964972958097391, 121.92518017163479], [11.964958295239628, 121.92520086107302], [11.964941701293084, 121.92521996560731], [11.963751903078801, 121.92646015667876], [11.963731263902966, 121.92647941049871], [11.963708667994023, 121.92649621263571], [11.963684392644348, 121.92651035689734], [11.96247230790409, 121.9271283169623]]"
7,37.55804105470588,127.04563816137254,2,2.0,17699.977,"[[37.55777034753294, 127.04490387852822], [37.55780957487275, 127.04485902932618], [37.55786308977135, 127.04480896304801], [37.55792023721804, 127.04476575465276], [37.557980466851674, 127.0447298202609], [37.558043198627956, 127.04470150594027], [37.55810782840559, 127.04468108437324], [37.55817373376448, 127.04466875223066], [37.55824027999999, 127.04466462827784], [37.55830682623551, 127.04466875223066], [37.558372731594396, 127.04468108437324], [37.55843736137203, 127.04470150594027], [37.55850009314831, 127.0447298202609], [37.55856032278194, 127.04476575465276], [37.55861747022864, 127.04480896304801], [37.558670985127236, 127.04485902932618], [37.55872035210001, 127.04491547132164], [37.558765095716026, 127.04497774546712], [37.5588047850698, 127.04504525202856], [37.55883903793117, 127.04511734088086], [37.55886752442635, 127.04519331776898], [37.55888997021481, 127.04527245099395], [37.55890615913134, 127.04535397845954], [37.55891593526784, 127.04543711501172], [37.558919204474755, 127.04552106000001], [37.55891593526784, 127.0456050049883], [37.55890615913134, 127.04568814154048], [37.55888997021481, 127.04576966900608], [37.55886752442635, 127.04584880223103], [37.55883903793117, 127.04592477911916], [37.5588047850698, 127.04599686797147], [37.558765095716026, 127.0460643745329], [37.55872035210001, 127.04612664867838], [37.558670985127236, 127.04618309067384], [37.55861747022864, 127.04623315695201], [37.55856032278194, 127.04627636534725], [37.55850009314831, 127.04631229973911], [37.55843736137203, 127.04634061405976], [37.558372731594396, 127.04636103562679], [37.558311761878805, 127.04637244421689], [37.55827253453899, 127.04641729341893], [37.5582190196404, 127.04646735969709], [37.5581618721937, 127.04651056809233], [37.55810164256007, 127.04654650248419], [37.558038910783786, 127.04657481680483], [37.55797428100615, 127.04659523837186], [37.557908375647266, 127.04660757051444], [37.55784182941175, 127.04661169446726], [37.557775283176234, 127.04660757051444], [37.557709377817346, 127.04659523837186], [37.55764474803971, 127.04657481680483], [37.55758201626343, 127.04654650248419], [37.5575217866298, 127.04651056809233], [37.55746463918311, 127.04646735969709], [37.557411124284506, 127.04641729341893], [37.55736175731173, 127.04636085142346], [37.557317013695716, 127.04629857727798], [37.55727732434194, 127.04623107071654], [37.55724307148058, 127.04615898186424], [37.5572145849854, 127.04608300497611], [37.557192139196935, 127.04600387175115], [37.5571759502804, 127.04592234428556], [37.55716617414391, 127.04583920773338], [37.557162904936995, 127.04575526274509], [37.55716617414391, 127.0456713177568], [37.5571759502804, 127.04558818120462], [37.557192139196935, 127.04550665373903], [37.5572145849854, 127.04542752051407], [37.55724307148058, 127.04535154362594], [37.55727732434194, 127.04527945477363], [37.557317013695716, 127.0452119482122], [37.55736175731173, 127.04514967406672], [37.557411124284506, 127.04509323207125], [37.55746463918311, 127.04504316579309], [37.5575217866298, 127.04499995739785], [37.55758201626343, 127.04496402300597], [37.55764474803971, 127.04493570868534], [37.557709377817346, 127.04491528711831], [37.55777034753294, 127.04490387852822]]"
8,37.55798426894841,127.04223914977514,6,6.0,18599.996000000003,"[[37.557231481921555, 127.0432925435394], [37.55720551928275, 127.04329737217584], [37.55717930644159, 127.04329896676185], [37.55715309594701, 127.0432973119343], [37.55712714032532, 127.0432924236367], [37.55710168964728, 127.04328434896561], [37.55707698911872, 127.04327316571687], [37.55705327671812, 127.04325898163603], [37.557030780903794, 127.04324193338034], [37.5570097184128, 127.04322218520207], [37.55699029217277, 127.04319992736603], [37.55697268934677, 127.04317537431648], [37.556957079530136, 127.04314876261097], [37.55694361311641, 127.04312034864135], [37.556932419848444, 127.04309040616344], [37.55692360756833, 127.04305922365953], [37.556917261178434, 127.043027101559], [37.55691344182336, 127.04299434934389], [37.556912186300885, 127.04296128256703], [37.556913506707396, 127.04292821981194], [37.556917390321374, 127.04289547962341], [37.5570084236547, 127.04232200184563], [37.55701458849603, 127.04229091768404], [37.557023063954254, 127.04226071179608], [37.55703377352964, 127.04223165682093], [37.557046620557244, 127.04220401500969], [37.557061489079416, 127.04217803585814], [37.55707824489245, 127.04215395385486], [37.558500561559136, 127.04029576163265], [37.558519421735475, 127.04027339723785], [37.55853990795293, 127.04025343830534], [37.558561828190705, 127.04023607191354], [37.55858497698671, 127.0402214608406], [37.55860913736337, 127.04020974203856], [37.55863408286139, 127.04020102534975], [37.55865957966239, 127.04019539247716], [37.55868538878055, 127.04019289621866], [37.55871126830265, 127.04019355997208], [37.558736975655535, 127.040197377516], [37.55876226987985, 127.04020431306787], [37.558786913888554, 127.04021430161964], [37.55881067668918, 127.0402272495469], [37.558833335548975, 127.04024303548655], [37.55885467808263, 127.04026151147431], [37.558874504242965, 127.04028250433161], [37.55889262819601, 127.04030581728887], [37.558908880062916, 127.04033123182977], [37.55892310751216, 127.04035850973953], [37.558935177187465, 127.04038739533772], [37.55963070575888, 127.04226733676627], [37.55964084242177, 127.0422987723554], [37.55964842340921, 127.04233133382863], [37.55965337196414, 127.04236469150295], [37.55965563798273, 127.04239850763386], [37.55965519852168, 127.04243243983504], [37.5596520580305, 127.0424661445449], [37.55964624830649, 127.04249928050525], [37.559637828172754, 127.04253151221644], [37.55962688288266, 127.04256251333426], [37.55961352325663, 127.04259196997423], [37.55959788456009, 127.04261958388956], [37.55958012513393, 127.04264507549101], [37.55956042479129, 127.04266818667759], [37.559538982997005, 127.0426886834499], [37.55951601684797, 127.0427063582793], [37.55949175887511, 127.0427210322092], [37.55946645468898, 127.0427325566669], [37.55944036049297, 127.04274081496797], [37.557231481921555, 127.0432925435394]]"
9,37.5076175771875,127.00697235156251,2,2.0,15000.007,[]
