region_id,mean_lat,mean_lon,num_visits,total_duration_sec
0,37.55484442828345,127.04716311727242,47,1312293.746
1,37.56426990664511,127.03846558006377,49,688315.441
2,37.56113876490683,127.04113521532094,2,22200.012
3,34.96409606456272,127.71851858778612,2,59999.96400000001
4,11.958237502678571,121.9264247236607,2,18000.01
5,11.959105042975143,121.92970984935353,5,105900.347
6,11.963390054467407,121.92616510406158,4,37799.56
7,37.55804105470588,127.04563816137254,2,17699.977
8,37.55798426894842,127.04223914977513,6,18599.996
9,37.5076175771875,127.00697235156251,2,15000.007
