region_id,mean_lat,mean_lon,num_visits,total_duration_sec,polygon_latlon
0,37.554844428283445,127.04716311727245,47,1312293.746,"[[37.55385839793104, 127.04808080551727], [37.55416028461539, 127.04416662307693], [37.55586717037037, 127.04596560370373], [37.5553265273913, 127.04754807391309], [37.555134409677436, 127.04795864596774], [37.55385839793104, 127.04808080551727]]"
1,37.56426990664511,127.03846558006377,49,688315.441,"[[37.561680550000005, 127.03643535000002], [37.563161140000005, 127.03579990000001], [37.564928413043475, 127.03817537391309], [37.56474882580645, 127.03838012129033], [37.564577600000014, 127.03854290434786], [37.56440445925927, 127.03869148148152], [37.56414839375, 127.03889990625], [37.5634266375, 127.0394557625], [37.561680550000005, 127.03643535000002]]"
2,37.56113876490683,127.04113521532094,2,22200.012,"[[37.56021178267528, 127.04079178571428], [37.56021394791197, 127.04073618558574], [37.560220422769596, 127.04068112091684], [37.56023114489175, 127.04062712201043], [37.56024601101854, 127.04057470890551], [37.560264877981034, 127.04052438636892], [37.56028756408006, 127.04047663903421], [37.56031385083611, 127.04043192673429], [37.56034348509332, 127.04039068007307], [37.56037618145762, 127.04035329627845], [37.56041162504513, 127.0403201353768], [37.56044947451473, 127.04029151672572], [37.56048936535535, 127.04026771593848], [37.560530913396384, 127.04024896222967], [37.56057371850747, 127.04023543620775], [37.560617368452, 127.04022726813571], [37.560661442857146, 127.04022453667655], [37.56070551726229, 127.04022726813571], [37.56074916720682, 127.04023543620775], [37.560791972317915, 127.04024896222967], [37.56083352035894, 127.04026771593848], [37.56087341119956, 127.04029151672572], [37.561828055298925, 127.04097837593902], [37.56186590476853, 127.04100699459009], [37.561901348356045, 127.04104015549176], [37.56193404472034, 127.04107753928638], [37.561963678977556, 127.04111878594759], [37.561989965733595, 127.0411634982475], [37.56201265183263, 127.04121124558222], [37.56203151879512, 127.04126156811881], [37.56204638492191, 127.04131398122374], [37.56205710704407, 127.04136798013013], [37.5620635819017, 127.04142304479905], [37.56206574713838, 127.04147864492758], [37.5620635819017, 127.0415342450561], [37.56205710704407, 127.04158930972501], [37.56204638492191, 127.04164330863141], [37.56203151879512, 127.04169572173633], [37.56201265183263, 127.04174604427293], [37.561989965733595, 127.04179379160765], [37.561963678977556, 127.04183850390756], [37.56193404472034, 127.04187975056877], [37.561901348356045, 127.04191713436339], [37.56186590476853, 127.04195029526505], [37.561828055298925, 127.04197891391613], [37.561788164458314, 127.04200271470336], [37.56174661641728, 127.04202146841217], [37.561703811306195, 127.04203499443409], [37.561660161361665, 127.04204316250613], [37.56161608695652, 127.0420458939653], [37.56157201255137, 127.04204316250613], [37.56152836260684, 127.04203499443409], [37.56148555749575, 127.04202146841217], [37.561444009454725, 127.04200271470336], [37.56140411861411, 127.04197891391613], [37.56044947451473, 127.04129205470282], [37.56041162504513, 127.04126343605175], [37.56037618145762, 127.0412302751501], [37.56034348509332, 127.04119289135546], [37.56031385083611, 127.04115164469425], [37.56028756408006, 127.04110693239434], [37.560264877981034, 127.04105918505962], [37.56024601101854, 127.04100886252303], [37.56023114489175, 127.0409564494181], [37.560220422769596, 127.04090245051171], [37.56021394791197, 127.04084738584281], [37.56021178267528, 127.04079178571428]]"
3,34.96409606456272,127.71851858778612,2,59999.96400000001,"[[34.963539523726176, 127.71831644252877], [34.963541688962856, 127.71826266120254], [34.963548163820484, 127.71820939781986], [34.96355888594264, 127.71815716533627], [34.96357375206943, 127.71810646677909], [34.96359261903192, 127.71805779040317], [34.96361530513096, 127.71801160498862], [34.963641591887, 127.7179683553262], [34.963671226144214, 127.71792845793385], [34.96370392250851, 127.71789229704524], [34.96373936609602, 127.71786022090949], [34.96377721556563, 127.71783253843734], [34.96381710640624, 127.71780951622611], [34.96385865444727, 127.71779137599229], [34.96390145955836, 127.71777829243625], [34.96394510950289, 127.71777039155978], [34.96398918390803, 127.71776774945265], [34.96403325831318, 127.71777039155978], [34.96407690825771, 127.71777829243625], [34.9641197133688, 127.71779137599229], [34.96416126140983, 127.71780951622611], [34.964201152250446, 127.71783253843734], [34.96423900172005, 127.71786022090949], [34.96427444530757, 127.71789229704524], [34.96430714167186, 127.71792845793385], [34.96433677592908, 127.7179683553262], [34.964363062685116, 127.71801160498862], [34.96457682399448, 127.71841589550336], [34.964599510093514, 127.7184620809179], [34.964618377056006, 127.71851075729383], [34.964633243182796, 127.718561455851], [34.96464396530495, 127.7186136883346], [34.96465044016258, 127.71866695171727], [34.96465260539926, 127.71872073304351], [34.96465044016258, 127.71877451436976], [34.96464396530495, 127.71882777775242], [34.964633243182796, 127.71888001023603], [34.964618377056006, 127.71893070879321], [34.964599510093514, 127.71897938516912], [34.96457682399448, 127.71902557058368], [34.96455053723844, 127.71906882024608], [34.96452090298122, 127.71910871763843], [34.96448820661693, 127.71914487852706], [34.96445276302941, 127.7191769546628], [34.96441491355981, 127.71920463713496], [34.964375022719196, 127.71922765934619], [34.96433347467816, 127.71924579958001], [34.96429066956708, 127.71925888313605], [34.96424701962255, 127.71926678401252], [34.9642029452174, 127.71926942611965], [34.964158870812255, 127.71926678401252], [34.964115220867725, 127.71925888313605], [34.96407241575663, 127.71924579958001], [34.96403086771561, 127.71922765934619], [34.96399097687499, 127.71920463713496], [34.96395312740538, 127.7191769546628], [34.96391768381787, 127.71914487852706], [34.963884987453575, 127.71910871763843], [34.96385535319636, 127.71906882024608], [34.96382906644032, 127.71902557058368], [34.96361530513096, 127.71862128006894], [34.96359261903192, 127.71857509465438], [34.96357375206943, 127.71852641827847], [34.96355888594264, 127.7184757197213], [34.963548163820484, 127.71842348723769], [34.963541688962856, 127.71837022385502], [34.963539523726176, 127.71831644252877]]"
4,11.958237502678571,121.9264247236607,2,18000.01,"[[11.957114352318138, 121.92675916875], [11.95711651755482, 121.92671411666441], [11.957122992412447, 121.92666949845504], [11.957133714534605, 121.92662574381964], [11.957148580661393, 121.92658327413925], [11.957167447623887, 121.9265424984201], [11.95719013372292, 121.9265038093547], [11.95721642047896, 121.92646757953985], [11.957246054736176, 121.9264341578885], [11.957278751100471, 121.92640386626941], [11.957314194687983, 121.92637699640744], [11.95735204415759, 121.92635380707405], [11.95869902451473, 121.92568491689546], [11.95873891535535, 121.9256656314166], [11.958780463396376, 121.92565043552199], [11.958823268507464, 121.92563947555637], [11.958866918451996, 121.92563285707021], [11.958910992857142, 121.92563064380317], [11.958955067262288, 121.92563285707021], [11.95899871720682, 121.92563947555637], [11.959041522317907, 121.92565043552199], [11.959083070358934, 121.9256656314166], [11.959122961199553, 121.92568491689546], [11.95916081066916, 121.92570810622887], [11.959196254256671, 121.92573497609084], [11.959228950620966, 121.92576526770992], [11.959258584878182, 121.92579868936127], [11.959284871634223, 121.92583491917613], [11.959307557733256, 121.92587360824153], [11.95932642469575, 121.92591438396067], [11.959341290822538, 121.92595685364105], [11.959352012944695, 121.92600060827647], [11.959358487802323, 121.92604522648584], [11.959360653039004, 121.92609027857141], [11.959358487802323, 121.92613533065699], [11.959352012944695, 121.92617994886636], [11.959341290822538, 121.92622370350176], [11.95932642469575, 121.92626617318216], [11.959307557733256, 121.9263069489013], [11.959284871634223, 121.9263456379667], [11.959258584878182, 121.92638186778156], [11.959228950620966, 121.92641528943291], [11.959196254256671, 121.926445581052], [11.95916081066916, 121.92647245091396], [11.959122961199553, 121.92649564024735], [11.957775980842412, 121.92716453042594], [11.957736090001793, 121.9271838159048], [11.957694541960766, 121.92719901179942], [11.957651736849678, 121.92720997176504], [11.957608086905147, 121.92721659025119], [11.9575640125, 121.92721880351823], [11.957519938094855, 121.92721659025119], [11.957476288150323, 121.92720997176504], [11.957433483039235, 121.92719901179942], [11.957391934998208, 121.9271838159048], [11.95735204415759, 121.92716453042594], [11.957314194687983, 121.92714134109254], [11.957278751100471, 121.92711447123057], [11.957246054736176, 121.92708417961148], [11.95721642047896, 121.92705075796013], [11.95719013372292, 121.92701452814528], [11.957167447623887, 121.92697583907987], [11.957148580661393, 121.92693506336073], [11.957133714534605, 121.92689259368035], [11.957122992412447, 121.92684883904494], [11.95711651755482, 121.92680422083556], [11.957114352318138, 121.92675916875]]"
5,11.959105042975143,121.92970984935353,5,105900.347,"[[11.958676062500002, 121.92944527499998], [11.959245773684213, 121.92950255964911], [11.959343738679248, 121.92980960660374], [11.959135476470589, 121.9299103117647], [11.958676062500002, 121.92944527499998]]"
6,11.963390054467407,121.92616510406157,4,37799.56,"[[11.962359729545454, 121.9268975886364], [11.962867061538462, 121.92644376153848], [11.964761612499997, 121.9250394375], [11.963571814285714, 121.92627962857144], [11.962359729545454, 121.9268975886364]]"
7,37.55804105470588,127.04563816137254,2,17699.977,"[[37.557392169229885, 127.04575526274509], [37.55739433446657, 127.0456996649281], [37.5574008093242, 127.04564460254846], [37.557411531446355, 127.04559060588703], [37.557426397573145, 127.04553819496114], [37.55744526453564, 127.04548787451667], [37.55746795063467, 127.045440129167], [37.55749423739071, 127.04539541872597], [37.55752387164792, 127.04535417377956], [37.557556568012224, 127.04531679153915], [37.55759201159973, 127.04528363201612], [37.55762986106934, 127.04525501455485], [37.557669751909955, 127.04523121475711], [37.5580682024982, 127.04499701201203], [37.55810975053923, 127.0449782590829], [37.55815255565032, 127.0449647336233], [37.55819620559485, 127.04495656589086], [37.55824027999999, 127.04495383454525], [37.55828435440514, 127.04495656589086], [37.55832800434967, 127.0449647336233], [37.55837080946076, 127.0449782590829], [37.55841235750179, 127.04499701201203], [37.558452248342405, 127.04502081180978], [37.55849009781201, 127.04504942927105], [37.558525541399526, 127.04508258879406], [37.55855823776382, 127.04511997103448], [37.558587872021036, 127.0451612159809], [37.558614158777075, 127.04520592642193], [37.55863684487611, 127.04525367177159], [37.558655711838604, 127.04530399221606], [37.55867057796539, 127.04535640314194], [37.55868130008755, 127.04541039980339], [37.55868777494518, 127.04546546218302], [37.55868994018186, 127.04552106000001], [37.55868777494518, 127.04557665781701], [37.55868130008755, 127.04563172019664], [37.55867057796539, 127.04568571685807], [37.558655711838604, 127.04573812778396], [37.55863684487611, 127.04578844822844], [37.558614158777075, 127.04583619357808], [37.558587872021036, 127.04588090401911], [37.55855823776382, 127.04592214896553], [37.558525541399526, 127.04595953120595], [37.55849009781201, 127.04599269072897], [37.558452248342405, 127.04602130819025], [37.55841235750179, 127.04604510798798], [37.558013906913544, 127.04627931073307], [37.55797235887252, 127.0462980636622], [37.557929553761426, 127.04631158912179], [37.557885903816896, 127.04631975685425], [37.55784182941175, 127.04632248819985], [37.557797755006604, 127.04631975685425], [37.557754105062074, 127.04631158912179], [37.55771129995099, 127.0462980636622], [37.557669751909955, 127.04627931073307], [37.55762986106934, 127.04625551093532], [37.55759201159973, 127.04622689347404], [37.557556568012224, 127.04619373395103], [37.55752387164792, 127.04615635171061], [37.55749423739071, 127.04611510676419], [37.55746795063467, 127.04607039632316], [37.55744526453564, 127.04602265097351], [37.557426397573145, 127.04597233052904], [37.557411531446355, 127.04591991960315], [37.5574008093242, 127.04586592294172], [37.55739433446657, 127.04581086056209], [37.557392169229885, 127.04575526274509]]"
8,37.55798426894841,127.04223914977514,6,18599.996000000003,"[[37.55717955, 127.04296169999999], [37.55727058333332, 127.0423882222222], [37.558692900000004, 127.04053003], [37.55938842857142, 127.04240997142855], [37.55717955, 127.04296169999999]]"
9,37.5076175771875,127.00697235156251,2,15000.007,"[[37.506482899193145, 127.00629107812502], [37.506485064429825, 127.00623551788455], [37.50649153928745, 127.00618049271958], [37.50650226140961, 127.00612653255251], [37.5065171275364, 127.00607415704927], [37.50653599449889, 127.00602387061456], [37.50655868059793, 127.00597615753423], [37.506584967353966, 127.00593147731136], [37.50661460161118, 127.0058902602409], [37.506647297975476, 127.00585290326578], [37.50668274156299, 127.00581976615408], [37.5067205910326, 127.0057911680343], [37.506760481873215, 127.00576738432198], [37.50680202991424, 127.00574864406727], [37.506844835025326, 127.00573512774905], [37.506888484969856, 127.00572696553685], [37.506932559375, 127.00572423603727], [37.50697663378015, 127.00572696553685], [37.507020283724685, 127.00573512774905], [37.50706308883577, 127.00574864406727], [37.5071046368768, 127.00576738432198], [37.507144527717415, 127.0057911680343], [37.50718237718702, 127.00581976615408], [37.507217820774535, 127.00585290326578], [37.50858785639953, 127.00721545014078], [37.50862055276382, 127.0072528071159], [37.50865018702104, 127.00729402418636], [37.50867647377708, 127.00733870440924], [37.508699159876116, 127.00738641748956], [37.50871802683861, 127.00743670392426], [37.5087328929654, 127.00748907942751], [37.50874361508755, 127.00754303959458], [37.50875008994518, 127.00759806475955], [37.50875225518186, 127.007653625], [37.50875008994518, 127.00770918524047], [37.50874361508755, 127.00776421040544], [37.5087328929654, 127.0078181705725], [37.50871802683861, 127.00787054607575], [37.508699159876116, 127.00792083251046], [37.50867647377708, 127.00796854559078], [37.50865018702104, 127.00801322581366], [37.50862055276382, 127.00805444288412], [37.50858785639953, 127.00809179985924], [37.508552412812016, 127.00812493697094], [37.50851456334241, 127.00815353509071], [37.50847467250179, 127.00817731880304], [37.508433124460765, 127.00819605905775], [37.50839031934968, 127.00820957537597], [37.50834666940515, 127.00821773758817], [37.508302595, 127.00822046708775], [37.50825852059486, 127.00821773758817], [37.50821487065032, 127.00820957537597], [37.508172065539235, 127.00819605905775], [37.50813051749821, 127.00817731880304], [37.50809062665759, 127.00815353509071], [37.508052777187984, 127.00812493697094], [37.50801733360047, 127.00809179985924], [37.506647297975476, 127.00672925298424], [37.50661460161118, 127.00669189600912], [37.506584967353966, 127.00665067893866], [37.50655868059793, 127.00660599871578], [37.50653599449889, 127.00655828563546], [37.5065171275364, 127.00650799920076], [37.50650226140961, 127.0064556236975], [37.50649153928745, 127.00640166353044], [37.506485064429825, 127.00634663836547], [37.506482899193145, 127.00629107812502]]"
